epoch,losses
0,"{'adv_total': 0.010907978256000206, 'adv_toward': 0.010498824529349804, 'adv_away': 0.00040915372665040195}"
1,"{'adv_total': 0.007109926897101104, 'adv_toward': 0.005860467907041311, 'adv_away': 0.001249458990059793}"
2,"{'adv_total': 0.006612020893953741, 'adv_toward': 0.0014101191191002727, 'adv_away': 0.005201901774853468}"
3,"{'adv_total': 0.010369780589826405, 'adv_toward': 0.009155460633337498, 'adv_away': 0.0012143199564889073}"
4,"{'adv_total': 0.02248282835353166, 'adv_toward': 0.021029571071267128, 'adv_away': 0.0014532572822645307}"
5,"{'adv_total': 0.02804121794179082, 'adv_toward': 0.020693328231573105, 'adv_away': 0.007347889710217714}"
6,"{'adv_total': 0.04126572352834046, 'adv_toward': 0.03790714219212532, 'adv_away': 0.0033585813362151384}"
7,"{'adv_total': 0.02279476309195161, 'adv_toward': 0.017705649137496948, 'adv_away': 0.00508911395445466}"
8,"{'adv_total': 0.01401473255828023, 'adv_toward': 0.012603383511304855, 'adv_away': 0.0014113490469753742}"
9,"{'adv_total': 0.0047058663330972195, 'adv_toward': 0.0035059836227446795, 'adv_away': 0.00119988271035254}"
10,"{'adv_total': 0.0083075484726578, 'adv_toward': 0.006429378874599934, 'adv_away': 0.001878169598057866}"
11,"{'adv_total': 0.08809083886444569, 'adv_toward': 0.07143764942884445, 'adv_away': 0.016653189435601234}"
12,"{'adv_total': 0.02529867854900658, 'adv_toward': 0.021944662556052208, 'adv_away': 0.0033540159929543734}"
13,"{'adv_total': 0.006365786073729396, 'adv_toward': 0.005171488970518112, 'adv_away': 0.0011942971032112837}"
14,"{'adv_total': 0.0035527031868696213, 'adv_toward': 0.0023377221077680588, 'adv_away': 0.0012149810791015625}"
15,"{'adv_total': 0.02743782475590706, 'adv_toward': 0.024132324382662773, 'adv_away': 0.0033055003732442856}"
16,"{'adv_total': 0.03085532085970044, 'adv_toward': 0.027491282671689987, 'adv_away': 0.003364038188010454}"
17,"{'adv_total': 0.026512527198065072, 'adv_toward': 0.025916162878274918, 'adv_away': 0.0005963643197901547}"
18,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
19,"{'adv_total': 0.014711424708366394, 'adv_toward': 0.012085613794624805, 'adv_away': 0.0026258109137415886}"
20,"{'adv_total': 0.001522825681604445, 'adv_toward': 0.001522825681604445, 'adv_away': -0.0}"
21,"{'adv_total': 0.007527044421294704, 'adv_toward': 0.007396534085273743, 'adv_away': 0.0001305103360209614}"
22,"{'adv_total': 0.06017133593559265, 'adv_toward': 0.0384027361869812, 'adv_away': 0.02176859974861145}"
23,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
24,"{'adv_total': 0.012650238815695047, 'adv_toward': 0.008612152189016342, 'adv_away': 0.004038086626678705}"
25,"{'adv_total': 0.06639110366813838, 'adv_toward': 0.06315501779317856, 'adv_away': 0.0032360858749598265}"
26,"{'adv_total': 0.027641132473945618, 'adv_toward': 0.024509266018867493, 'adv_away': 0.003131866455078125}"
27,"{'adv_total': 0.08687456883490086, 'adv_toward': 0.06803369522094727, 'adv_away': 0.01884087361395359}"
28,"{'adv_total': 0.028703128919005394, 'adv_toward': 0.006890278309583664, 'adv_away': 0.02181285060942173}"
