epoch,losses
0,"{'adv_total': 0.010907978256000206, 'adv_toward': 0.010498824529349804, 'adv_away': 0.00040915372665040195, 'def_total': 18.117493271827698, 'def_toward': 8.976731300354004, 'def_away': 8.084966659545898, 'def_sft': 1.0557953119277954}"
1,"{'adv_total': 0.007109926897101104, 'adv_toward': 0.005860467907041311, 'adv_away': 0.001249458990059793, 'def_total': 16.37479543685913, 'def_toward': 7.443821430206299, 'def_away': 7.773036956787109, 'def_sft': 1.1579370498657227}"
2,"{'adv_total': 0.006612020893953741, 'adv_toward': 0.0014101191191002727, 'adv_away': 0.005201901774853468, 'def_total': 16.175067245960236, 'def_toward': 6.584333896636963, 'def_away': 8.64217472076416, 'def_sft': 0.9485586285591125}"
3,"{'adv_total': 0.010369780589826405, 'adv_toward': 0.009155460633337498, 'adv_away': 0.0012143199564889073, 'def_total': 17.49408531188965, 'def_toward': 8.040572166442871, 'def_away': 8.374330520629883, 'def_sft': 1.0791826248168945}"
4,"{'adv_total': 0.02248282835353166, 'adv_toward': 0.021029571071267128, 'adv_away': 0.0014532572822645307, 'def_total': 16.799892723560333, 'def_toward': 8.491181373596191, 'def_away': 7.590743541717529, 'def_sft': 0.7179678082466125}"
5,"{'adv_total': 0.02804121794179082, 'adv_toward': 0.020693328231573105, 'adv_away': 0.007347889710217714, 'def_total': 14.64652943611145, 'def_toward': 6.240483283996582, 'def_away': 7.183078765869141, 'def_sft': 1.2229673862457275}"
6,"{'adv_total': 0.04126572352834046, 'adv_toward': 0.03790714219212532, 'adv_away': 0.0033585813362151384, 'def_total': 15.92753154039383, 'def_toward': 7.054275035858154, 'def_away': 8.271414756774902, 'def_sft': 0.6018417477607727}"
7,"{'adv_total': 0.02279476309195161, 'adv_toward': 0.017705649137496948, 'adv_away': 0.00508911395445466, 'def_total': 16.40183138847351, 'def_toward': 8.465643882751465, 'def_away': 7.006193161010742, 'def_sft': 0.9299943447113037}"
8,"{'adv_total': 0.01401473255828023, 'adv_toward': 0.012603383511304855, 'adv_away': 0.0014113490469753742, 'def_total': 18.289414405822754, 'def_toward': 8.099807739257812, 'def_away': 9.131492614746094, 'def_sft': 1.0581140518188477}"
9,"{'adv_total': 0.0047058663330972195, 'adv_toward': 0.0035059836227446795, 'adv_away': 0.00119988271035254, 'def_total': 17.838565349578857, 'def_toward': 7.076847076416016, 'def_away': 9.74084186553955, 'def_sft': 1.020876407623291}"
