epoch,losses
0,"{'adv_total': 0.09129461087286472, 'adv_toward': 0.0759306326508522, 'adv_away': 0.01536397822201252}"
1,"{'adv_total': 0.005401851027272642, 'adv_toward': 0.001815491239540279, 'adv_away': 0.0035863597877323627}"
2,"{'adv_total': 0.8508716970682144, 'adv_toward': 0.67881840467453, 'adv_away': 0.1720532923936844}"
3,"{'adv_total': 0.008340290514752269, 'adv_toward': 0.004991352558135986, 'adv_away': 0.0033489379566162825}"
4,"{'adv_total': 0.5043622814118862, 'adv_toward': 0.45089486241340637, 'adv_away': 0.05346741899847984}"
5,"{'adv_total': 0.0021515945409191772, 'adv_toward': 0.0019932016730308533, 'adv_away': 0.00015839286788832396}"
6,"{'adv_total': 0.3485547211021185, 'adv_toward': 0.32430723309516907, 'adv_away': 0.024247488006949425}"
7,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
8,"{'adv_total': 0.4748375341296196, 'adv_toward': 0.4090513288974762, 'adv_away': 0.0657862052321434}"
9,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
10,"{'adv_total': 0.0994764007627964, 'adv_toward': 0.08163388818502426, 'adv_away': 0.01784251257777214}"
11,"{'adv_total': 0.015015226090326905, 'adv_toward': 0.013086718507111073, 'adv_away': 0.0019285075832158327}"
12,"{'adv_total': 0.22355779446661472, 'adv_toward': 0.19875814020633698, 'adv_away': 0.024799654260277748}"
13,"{'adv_total': 0.0275916859973222, 'adv_toward': 0.025417137891054153, 'adv_away': 0.0021745481062680483}"
14,"{'adv_total': 0.14960075914859772, 'adv_toward': 0.08058194816112518, 'adv_away': 0.06901881098747253}"
15,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
16,"{'adv_total': 0.7660920768976212, 'adv_toward': 0.6504814028739929, 'adv_away': 0.11561067402362823}"
17,"{'adv_total': 0.10791992396116257, 'adv_toward': 0.07984432578086853, 'adv_away': 0.028075598180294037}"
18,"{'adv_total': 0.6153604350984097, 'adv_toward': 0.5681138634681702, 'adv_away': 0.04724657163023949}"
