epoch,losses
0,"{'adv_total': 0.09129461087286472, 'adv_toward': 0.0759306326508522, 'adv_away': 0.01536397822201252, 'def_total': 12.848053991794586, 'def_toward': 6.312539100646973, 'def_away': 5.694316864013672, 'def_sft': 0.8411980271339417}"
1,"{'adv_total': 0.005401851027272642, 'adv_toward': 0.001815491239540279, 'adv_away': 0.0035863597877323627, 'def_total': 16.17683309316635, 'def_toward': 6.639585494995117, 'def_away': 8.568391799926758, 'def_sft': 0.9688557982444763}"
2,"{'adv_total': 0.8508716970682144, 'adv_toward': 0.67881840467453, 'adv_away': 0.1720532923936844, 'def_total': 8.500962316989899, 'def_toward': 3.877979040145874, 'def_away': 3.8225138187408447, 'def_sft': 0.8004694581031799}"
3,"{'adv_total': 0.008340290514752269, 'adv_toward': 0.004991352558135986, 'adv_away': 0.0033489379566162825, 'def_total': 16.887815833091736, 'def_toward': 7.180703163146973, 'def_away': 8.257471084594727, 'def_sft': 1.4496415853500366}"
4,"{'adv_total': 0.5043622814118862, 'adv_toward': 0.45089486241340637, 'adv_away': 0.05346741899847984, 'def_total': 8.719797968864441, 'def_toward': 4.197750568389893, 'def_away': 3.1227633953094482, 'def_sft': 1.3992840051651}"
5,"{'adv_total': 0.0021515945409191772, 'adv_toward': 0.0019932016730308533, 'adv_away': 0.00015839286788832396, 'def_total': 19.07412713766098, 'def_toward': 9.102785110473633, 'def_away': 9.072477340698242, 'def_sft': 0.8988646864891052}"
6,"{'adv_total': 0.3485547211021185, 'adv_toward': 0.32430723309516907, 'adv_away': 0.024247488006949425, 'def_total': 10.676368534564972, 'def_toward': 6.474667072296143, 'def_away': 3.6349427700042725, 'def_sft': 0.5667586922645569}"
7,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.2056424617767334}"
8,"{'adv_total': 0.4748375341296196, 'adv_toward': 0.4090513288974762, 'adv_away': 0.0657862052321434, 'def_total': 9.113681674003601, 'def_toward': 4.36727237701416, 'def_away': 3.673342227935791, 'def_sft': 1.07306706905365}"
9,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.9626518487930298}"
10,"{'adv_total': 0.0994764007627964, 'adv_toward': 0.08163388818502426, 'adv_away': 0.01784251257777214, 'def_total': 13.250110685825348, 'def_toward': 6.063016414642334, 'def_away': 6.599516868591309, 'def_sft': 0.5875774025917053}"
11,"{'adv_total': 0.015015226090326905, 'adv_toward': 0.013086718507111073, 'adv_away': 0.0019285075832158327, 'def_total': 15.968402981758118, 'def_toward': 7.236699104309082, 'def_away': 7.705729961395264, 'def_sft': 1.025973916053772}"
12,"{'adv_total': 0.22355779446661472, 'adv_toward': 0.19875814020633698, 'adv_away': 0.024799654260277748, 'def_total': 10.087619066238403, 'def_toward': 5.146466255187988, 'def_away': 4.537266731262207, 'def_sft': 0.403886079788208}"
13,"{'adv_total': 0.0275916859973222, 'adv_toward': 0.025417137891054153, 'adv_away': 0.0021745481062680483, 'def_total': 16.36639630794525, 'def_toward': 7.6972336769104, 'def_away': 7.777472019195557, 'def_sft': 0.8916906118392944}"
14,"{'adv_total': 0.14960075914859772, 'adv_toward': 0.08058194816112518, 'adv_away': 0.06901881098747253, 'def_total': 10.793050527572632, 'def_toward': 4.702173709869385, 'def_away': 5.049631595611572, 'def_sft': 1.0412452220916748}"
15,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.8502601385116577}"
16,"{'adv_total': 0.7660920768976212, 'adv_toward': 0.6504814028739929, 'adv_away': 0.11561067402362823, 'def_total': 7.606873512268066, 'def_toward': 4.255073070526123, 'def_away': 2.2815582752227783, 'def_sft': 1.070242166519165}"
17,"{'adv_total': 0.10791992396116257, 'adv_toward': 0.07984432578086853, 'adv_away': 0.028075598180294037, 'def_total': 14.519289672374725, 'def_toward': 6.135303497314453, 'def_away': 7.709685325622559, 'def_sft': 0.6743008494377136}"
18,"{'adv_total': 0.6153604350984097, 'adv_toward': 0.5681138634681702, 'adv_away': 0.04724657163023949, 'def_total': 8.552698493003845, 'def_toward': 4.254338264465332, 'def_away': 3.2156331539154053, 'def_sft': 1.082727074623108}"
19,"{'adv_total': 0.003489725640974939, 'adv_toward': 0.0022216567303985357, 'adv_away': 0.0012680689105764031, 'def_total': 17.566905856132507, 'def_toward': 8.007975578308105, 'def_away': 8.288339614868164, 'def_sft': 1.2705906629562378}"
20,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.085411787033081}"
21,"{'adv_total': 0.13770158123224974, 'adv_toward': 0.12715862691402435, 'adv_away': 0.010542954318225384, 'def_total': 14.53454864025116, 'def_toward': 6.589137554168701, 'def_away': 6.895298480987549, 'def_sft': 1.0501126050949097}"
22,"{'adv_total': 0.5005578100681305, 'adv_toward': 0.45456570386886597, 'adv_away': 0.045992106199264526, 'def_total': 10.094291031360626, 'def_toward': 5.012223720550537, 'def_away': 4.304504871368408, 'def_sft': 0.7775624394416809}"
23,"{'adv_total': 1.3904355729464442, 'adv_toward': 1.3872724771499634, 'adv_away': 0.003163095796480775, 'def_total': 10.776589035987854, 'def_toward': 5.896880626678467, 'def_away': 3.8704187870025635, 'def_sft': 1.0092896223068237}"
24,"{'adv_total': 0.4238371178507805, 'adv_toward': 0.36124882102012634, 'adv_away': 0.06258829683065414, 'def_total': 9.763182520866394, 'def_toward': 3.691866636276245, 'def_away': 4.867063045501709, 'def_sft': 1.20425283908844}"
25,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.328044056892395}"
26,"{'adv_total': 1.3955588787794113, 'adv_toward': 1.2785744667053223, 'adv_away': 0.11698441207408905, 'def_total': 6.033307075500488, 'def_toward': 3.4646453857421875, 'def_away': 1.7562309503555298, 'def_sft': 0.812430739402771}"
27,"{'adv_total': 0.005405241856351495, 'adv_toward': 0.0038335146382451057, 'adv_away': 0.001571727218106389, 'def_total': 16.038251519203186, 'def_toward': 6.931143283843994, 'def_away': 7.885387897491455, 'def_sft': 1.2217203378677368}"
28,"{'adv_total': 0.7101890332996845, 'adv_toward': 0.6522549986839294, 'adv_away': 0.05793403461575508, 'def_total': 8.779208183288574, 'def_toward': 3.5067052841186523, 'def_away': 4.20759391784668, 'def_sft': 1.0649089813232422}"
29,"{'adv_total': 0.005725249415263534, 'adv_toward': 0.003599595744162798, 'adv_away': 0.0021256536711007357, 'def_total': 15.698496043682098, 'def_toward': 6.762138366699219, 'def_away': 8.321456909179688, 'def_sft': 0.6149007678031921}"
30,"{'adv_total': 0.4706219583749771, 'adv_toward': 0.38420039415359497, 'adv_away': 0.08642156422138214, 'def_total': 10.649529695510864, 'def_toward': 4.617664337158203, 'def_away': 5.000550270080566, 'def_sft': 1.0313150882720947}"
