epoch,losses
0,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
1,"{'adv_total': 0.9340809881687164, 'adv_toward': 0.8026319146156311, 'adv_away': 0.13144907355308533}"
2,"{'adv_total': 0.057075242046266794, 'adv_toward': 0.052714742720127106, 'adv_away': 0.0043604993261396885}"
3,"{'adv_total': 1.1910290718078613, 'adv_toward': 1.0846463441848755, 'adv_away': 0.10638272762298584}"
4,"{'adv_total': 0.007887198473326862, 'adv_toward': 0.005995959974825382, 'adv_away': 0.0018912384985014796}"
5,"{'adv_total': 0.5031629651784897, 'adv_toward': 0.4472571015357971, 'adv_away': 0.055905863642692566}"
6,"{'adv_total': 0.45620855689048767, 'adv_toward': 0.3511628806591034, 'adv_away': 0.10504567623138428}"
7,"{'adv_total': 0.07283557392656803, 'adv_toward': 0.057184021919965744, 'adv_away': 0.015651552006602287}"
8,"{'adv_total': 0.009926059516146779, 'adv_toward': 0.0035027500707656145, 'adv_away': 0.0064233094453811646}"
9,"{'adv_total': 0.36364644952118397, 'adv_toward': 0.3430507183074951, 'adv_away': 0.02059573121368885}"
10,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
11,"{'adv_total': 0.2319419700652361, 'adv_toward': 0.21251146495342255, 'adv_away': 0.019430505111813545}"
12,"{'adv_total': 1.5982749536633492, 'adv_toward': 1.4965410232543945, 'adv_away': 0.10173393040895462}"
13,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
14,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
15,"{'adv_total': 1.011138267815113, 'adv_toward': 0.9216905236244202, 'adv_away': 0.0894477441906929}"
16,"{'adv_total': 1.0847381353378296, 'adv_toward': 0.9488188028335571, 'adv_away': 0.13591933250427246}"
17,"{'adv_total': 0.005949279526248574, 'adv_toward': 0.0030082925222814083, 'adv_away': 0.002940987003967166}"
18,"{'adv_total': 0.009770476026460528, 'adv_toward': 0.007082166615873575, 'adv_away': 0.002688309410586953}"
19,"{'adv_total': 0.032336887903511524, 'adv_toward': 0.020765645429491997, 'adv_away': 0.011571242474019527}"
20,"{'adv_total': 0.07599616702646017, 'adv_toward': 0.06942276656627655, 'adv_away': 0.0065734004601836205}"
21,"{'adv_total': 0.006397046847268939, 'adv_toward': 0.0035780135076493025, 'adv_away': 0.0028190333396196365}"
22,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
23,"{'adv_total': 1.8205985128879547, 'adv_toward': 1.5192791223526, 'adv_away': 0.3013193905353546}"
24,"{'adv_total': 0.53499417565763, 'adv_toward': 0.5071094632148743, 'adv_away': 0.0278847124427557}"
25,"{'adv_total': 1.2407763227820396, 'adv_toward': 1.199767827987671, 'adv_away': 0.041008494794368744}"
26,"{'adv_total': 0.857918918132782, 'adv_toward': 0.7106447219848633, 'adv_away': 0.1472741961479187}"
27,"{'adv_total': 0.007859285455197096, 'adv_toward': 0.00504047516733408, 'adv_away': 0.002818810287863016}"
28,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
29,"{'adv_total': 1.1467590034008026, 'adv_toward': 1.054368257522583, 'adv_away': 0.0923907458782196}"
30,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
31,"{'adv_total': 0.777735460549593, 'adv_toward': 0.7525745034217834, 'adv_away': 0.025160957127809525}"
32,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
33,"{'adv_total': 1.1481337696313858, 'adv_toward': 0.9846005439758301, 'adv_away': 0.16353322565555573}"
34,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
35,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
36,"{'adv_total': 0.05513006867840886, 'adv_toward': 0.051452115178108215, 'adv_away': 0.003677953500300646}"
37,"{'adv_total': 1.8876987099647522, 'adv_toward': 1.6004459857940674, 'adv_away': 0.2872527241706848}"
38,"{'adv_total': 0.7598778456449509, 'adv_toward': 0.6670747399330139, 'adv_away': 0.09280310571193695}"
39,"{'adv_total': 1.534732080064714, 'adv_toward': 1.5293622016906738, 'adv_away': 0.005369878374040127}"
40,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
41,"{'adv_total': 0.3060486614704132, 'adv_toward': 0.20113018155097961, 'adv_away': 0.1049184799194336}"
42,"{'adv_total': 0.025650531286373734, 'adv_toward': 0.023650892078876495, 'adv_away': 0.001999639207497239}"
43,"{'adv_total': 0.20815102756023407, 'adv_toward': 0.17005504667758942, 'adv_away': 0.03809598088264465}"
44,"{'adv_total': 0.044909120770171285, 'adv_toward': 0.04214056581258774, 'adv_away': 0.0027685549575835466}"
45,"{'adv_total': 1.2000138759613037, 'adv_toward': 1.094179391860962, 'adv_away': 0.1058344841003418}"
46,"{'adv_total': 0.012012273538857698, 'adv_toward': 0.007662299554795027, 'adv_away': 0.004349973984062672}"
47,"{'adv_total': 0.521782360970974, 'adv_toward': 0.4454873502254486, 'adv_away': 0.07629501074552536}"
48,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
49,"{'adv_total': 0.0024975088890641928, 'adv_toward': 0.0015159307513386011, 'adv_away': 0.0009815781377255917}"
50,"{'adv_total': 0.05495421402156353, 'adv_toward': 0.027939271181821823, 'adv_away': 0.027014942839741707}"
51,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
52,"{'adv_total': 0.9620945304632187, 'adv_toward': 0.8330287933349609, 'adv_away': 0.12906573712825775}"
53,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
54,"{'adv_total': 1.94501431286335, 'adv_toward': 1.8427784442901611, 'adv_away': 0.10223586857318878}"
55,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
56,"{'adv_total': 1.0805050805211067, 'adv_toward': 0.9611280560493469, 'adv_away': 0.1193770244717598}"
57,"{'adv_total': 0.8451846092939377, 'adv_toward': 0.7713323831558228, 'adv_away': 0.07385222613811493}"
58,"{'adv_total': 1.124953955411911, 'adv_toward': 0.8554396629333496, 'adv_away': 0.2695142924785614}"
59,"{'adv_total': 0.004178798524662852, 'adv_toward': 0.0016485017258673906, 'adv_away': 0.0025302967987954617}"
60,"{'adv_total': 0.03550134878605604, 'adv_toward': 0.029421396553516388, 'adv_away': 0.006079952232539654}"
61,"{'adv_total': 0.8050245642662048, 'adv_toward': 0.6137574315071106, 'adv_away': 0.19126713275909424}"
62,"{'adv_total': 0.030065272469073534, 'adv_toward': 0.02454160712659359, 'adv_away': 0.005523665342479944}"
63,"{'adv_total': 0.010181518213357776, 'adv_toward': 0.009572445414960384, 'adv_away': 0.000609072798397392}"
