epoch,losses
0,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.3856875896453857}"
1,"{'adv_total': 0.9340809881687164, 'adv_toward': 0.8026319146156311, 'adv_away': 0.13144907355308533, 'def_total': 7.268826246261597, 'def_toward': 4.007534980773926, 'def_away': 1.745837926864624, 'def_sft': 1.5154533386230469}"
2,"{'adv_total': 0.057075242046266794, 'adv_toward': 0.052714742720127106, 'adv_away': 0.0043604993261396885, 'def_total': 13.962544679641724, 'def_toward': 6.802691459655762, 'def_away': 5.850796222686768, 'def_sft': 1.3090569972991943}"
3,"{'adv_total': 1.1910290718078613, 'adv_toward': 1.0846463441848755, 'adv_away': 0.10638272762298584, 'def_total': 8.908879399299622, 'def_toward': 4.63247537612915, 'def_away': 2.93937611579895, 'def_sft': 1.337027907371521}"
4,"{'adv_total': 0.007887198473326862, 'adv_toward': 0.005995959974825382, 'adv_away': 0.0018912384985014796, 'def_total': 15.294529795646667, 'def_toward': 7.4858717918396, 'def_away': 6.904212474822998, 'def_sft': 0.9044455289840698}"
5,"{'adv_total': 0.5031629651784897, 'adv_toward': 0.4472571015357971, 'adv_away': 0.055905863642692566, 'def_total': 10.68711793422699, 'def_toward': 6.206191062927246, 'def_away': 3.468130111694336, 'def_sft': 1.0127967596054077}"
6,"{'adv_total': 0.45620855689048767, 'adv_toward': 0.3511628806591034, 'adv_away': 0.10504567623138428, 'def_total': 9.257905185222626, 'def_toward': 4.712080478668213, 'def_away': 3.5766758918762207, 'def_sft': 0.9691488146781921}"
7,"{'adv_total': 0.07283557392656803, 'adv_toward': 0.057184021919965744, 'adv_away': 0.015651552006602287, 'def_total': 17.53678286075592, 'def_toward': 6.89577054977417, 'def_away': 9.483353614807129, 'def_sft': 1.1576586961746216}"
8,"{'adv_total': 0.009926059516146779, 'adv_toward': 0.0035027500707656145, 'adv_away': 0.0064233094453811646, 'def_total': 15.93322104215622, 'def_toward': 7.13917875289917, 'def_away': 8.022216796875, 'def_sft': 0.7718254923820496}"
9,"{'adv_total': 0.36364644952118397, 'adv_toward': 0.3430507183074951, 'adv_away': 0.02059573121368885, 'def_total': 11.543895483016968, 'def_toward': 6.672152519226074, 'def_away': 3.708510160446167, 'def_sft': 1.1632328033447266}"
10,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0586363077163696}"
11,"{'adv_total': 0.2319419700652361, 'adv_toward': 0.21251146495342255, 'adv_away': 0.019430505111813545, 'def_total': 12.031049013137817, 'def_toward': 6.439317226409912, 'def_away': 4.623345375061035, 'def_sft': 0.9683864116668701}"
12,"{'adv_total': 1.5982749536633492, 'adv_toward': 1.4965410232543945, 'adv_away': 0.10173393040895462, 'def_total': 6.319092512130737, 'def_toward': 3.785367250442505, 'def_away': 1.1419745683670044, 'def_sft': 1.391750693321228}"
13,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.26204252243042}"
14,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.8841131329536438}"
15,"{'adv_total': 1.011138267815113, 'adv_toward': 0.9216905236244202, 'adv_away': 0.0894477441906929, 'def_total': 7.067427396774292, 'def_toward': 3.5009236335754395, 'def_away': 2.3280067443847656, 'def_sft': 1.238497018814087}"
16,"{'adv_total': 1.0847381353378296, 'adv_toward': 0.9488188028335571, 'adv_away': 0.13591933250427246, 'def_total': 6.279290199279785, 'def_toward': 3.4672000408172607, 'def_away': 1.7706180810928345, 'def_sft': 1.04147207736969}"
17,"{'adv_total': 0.005949279526248574, 'adv_toward': 0.0030082925222814083, 'adv_away': 0.002940987003967166, 'def_total': 17.971755862236023, 'def_toward': 8.558100700378418, 'def_away': 8.077047348022461, 'def_sft': 1.336607813835144}"
18,"{'adv_total': 0.009770476026460528, 'adv_toward': 0.007082166615873575, 'adv_away': 0.002688309410586953, 'def_total': 15.581243753433228, 'def_toward': 7.775214195251465, 'def_away': 6.733455181121826, 'def_sft': 1.0725743770599365}"
19,"{'adv_total': 0.032336887903511524, 'adv_toward': 0.020765645429491997, 'adv_away': 0.011571242474019527, 'def_total': 13.650066614151001, 'def_toward': 6.068142414093018, 'def_away': 6.469022750854492, 'def_sft': 1.1129014492034912}"
20,"{'adv_total': 0.07599616702646017, 'adv_toward': 0.06942276656627655, 'adv_away': 0.0065734004601836205, 'def_total': 15.695947229862213, 'def_toward': 8.42976188659668, 'def_away': 6.520829677581787, 'def_sft': 0.7453556656837463}"
21,"{'adv_total': 0.006397046847268939, 'adv_toward': 0.0035780135076493025, 'adv_away': 0.0028190333396196365, 'def_total': 17.771719574928284, 'def_toward': 8.089460372924805, 'def_away': 8.622575759887695, 'def_sft': 1.0596834421157837}"
22,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0116100311279297}"
23,"{'adv_total': 1.8205985128879547, 'adv_toward': 1.5192791223526, 'adv_away': 0.3013193905353546, 'def_total': 3.908128261566162, 'def_toward': 2.0557665824890137, 'def_away': 0.802247166633606, 'def_sft': 1.0501145124435425}"
24,"{'adv_total': 0.53499417565763, 'adv_toward': 0.5071094632148743, 'adv_away': 0.0278847124427557, 'def_total': 10.803381323814392, 'def_toward': 6.790235996246338, 'def_away': 2.934812068939209, 'def_sft': 1.0783332586288452}"
25,"{'adv_total': 1.2407763227820396, 'adv_toward': 1.199767827987671, 'adv_away': 0.041008494794368744, 'def_total': 8.828942894935608, 'def_toward': 5.793002128601074, 'def_away': 1.932483196258545, 'def_sft': 1.1034575700759888}"
26,"{'adv_total': 0.857918918132782, 'adv_toward': 0.7106447219848633, 'adv_away': 0.1472741961479187, 'def_total': 6.7888665199279785, 'def_toward': 3.210092306137085, 'def_away': 2.4575443267822266, 'def_sft': 1.121229887008667}"
27,"{'adv_total': 0.007859285455197096, 'adv_toward': 0.00504047516733408, 'adv_away': 0.002818810287863016, 'def_total': 16.44590699672699, 'def_toward': 8.233616828918457, 'def_away': 7.124959468841553, 'def_sft': 1.08733069896698}"
28,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.6823204159736633}"
29,"{'adv_total': 1.1467590034008026, 'adv_toward': 1.054368257522583, 'adv_away': 0.0923907458782196, 'def_total': 6.433965086936951, 'def_toward': 3.7146224975585938, 'def_away': 1.6779389381408691, 'def_sft': 1.0414036512374878}"
30,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.943797767162323}"
31,"{'adv_total': 0.777735460549593, 'adv_toward': 0.7525745034217834, 'adv_away': 0.025160957127809525, 'def_total': 9.672346115112305, 'def_toward': 6.181509017944336, 'def_away': 2.4014511108398438, 'def_sft': 1.089385986328125}"
32,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.1232717037200928}"
33,"{'adv_total': 1.1481337696313858, 'adv_toward': 0.9846005439758301, 'adv_away': 0.16353322565555573, 'def_total': 6.19001579284668, 'def_toward': 3.3346903324127197, 'def_away': 1.6616523265838623, 'def_sft': 1.1936731338500977}"
34,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.7155304551124573}"
35,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.9664180874824524}"
36,"{'adv_total': 0.05513006867840886, 'adv_toward': 0.051452115178108215, 'adv_away': 0.003677953500300646, 'def_total': 14.95443081855774, 'def_toward': 7.944066047668457, 'def_away': 6.05302619934082, 'def_sft': 0.9573385715484619}"
37,"{'adv_total': 1.8876987099647522, 'adv_toward': 1.6004459857940674, 'adv_away': 0.2872527241706848, 'def_total': 3.479420304298401, 'def_toward': 1.733372449874878, 'def_away': 0.6318567991256714, 'def_sft': 1.1141910552978516}"
38,"{'adv_total': 0.7598778456449509, 'adv_toward': 0.6670747399330139, 'adv_away': 0.09280310571193695, 'def_total': 7.760563492774963, 'def_toward': 4.267702579498291, 'def_away': 2.3952081203460693, 'def_sft': 1.097652792930603}"
39,"{'adv_total': 1.534732080064714, 'adv_toward': 1.5293622016906738, 'adv_away': 0.005369878374040127, 'def_total': 13.144936084747314, 'def_toward': 7.509035587310791, 'def_away': 4.5818047523498535, 'def_sft': 1.05409574508667}"
40,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.3080894947052002}"
41,"{'adv_total': 0.3060486614704132, 'adv_toward': 0.20113018155097961, 'adv_away': 0.1049184799194336, 'def_total': 9.191864430904388, 'def_toward': 4.816927433013916, 'def_away': 3.5483429431915283, 'def_sft': 0.8265940546989441}"
42,"{'adv_total': 0.025650531286373734, 'adv_toward': 0.023650892078876495, 'adv_away': 0.001999639207497239, 'def_total': 14.43431705236435, 'def_toward': 6.618415832519531, 'def_away': 7.167022705078125, 'def_sft': 0.6488785147666931}"
43,"{'adv_total': 0.20815102756023407, 'adv_toward': 0.17005504667758942, 'adv_away': 0.03809598088264465, 'def_total': 17.832534551620483, 'def_toward': 9.760618209838867, 'def_away': 7.092036247253418, 'def_sft': 0.9798800945281982}"
