epoch,losses
0,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.798518419265747}"
1,"{'adv_total': 1.7714403718709946, 'adv_toward': 1.5637595653533936, 'adv_away': 0.207680806517601, 'def_total': 3.85994029045105, 'def_toward': 1.8108282089233398, 'def_away': 0.9356800317764282, 'def_sft': 1.1134320497512817}"
2,"{'adv_total': 0.004771167354192585, 'adv_toward': 0.004041772335767746, 'adv_away': 0.0007293950184248388, 'def_total': 17.36185884475708, 'def_toward': 7.176149368286133, 'def_away': 8.942815780639648, 'def_sft': 1.2428936958312988}"
3,"{'adv_total': 0.09013624675571918, 'adv_toward': 0.07823110371828079, 'adv_away': 0.011905143037438393, 'def_total': 14.82521677017212, 'def_toward': 7.228488922119141, 'def_away': 5.374658584594727, 'def_sft': 2.222069263458252}"
4,"{'adv_total': 0.9364542961120605, 'adv_toward': 0.7652965188026428, 'adv_away': 0.17115777730941772, 'def_total': 6.956653356552124, 'def_toward': 3.8706254959106445, 'def_away': 2.3099334239959717, 'def_sft': 0.7760944366455078}"
5,"{'adv_total': 1.442312054336071, 'adv_toward': 1.3611408472061157, 'adv_away': 0.08117120712995529, 'def_total': 7.764075875282288, 'def_toward': 4.815704822540283, 'def_away': 1.6955758333206177, 'def_sft': 1.2527952194213867}"
6,"{'adv_total': 1.2896777987480164, 'adv_toward': 1.1459100246429443, 'adv_away': 0.14376777410507202, 'def_total': 6.60331404209137, 'def_toward': 3.5687456130981445, 'def_away': 1.4441312551498413, 'def_sft': 1.5904371738433838}"
7,"{'adv_total': 1.8415147811174393, 'adv_toward': 1.6172515153884888, 'adv_away': 0.2242632657289505, 'def_total': 3.2228730618953705, 'def_toward': 1.6702367067337036, 'def_away': 1.1147854328155518, 'def_sft': 0.4378509223461151}"
8,"{'adv_total': 0.0010869700636249036, 'adv_toward': 0.0008348717237822711, 'adv_away': 0.0002520983398426324, 'def_total': 19.161670684814453, 'def_toward': 8.391457557678223, 'def_away': 9.8096284866333, 'def_sft': 0.9605846405029297}"
9,"{'adv_total': 0.0360476712230593, 'adv_toward': 0.03239737078547478, 'adv_away': 0.0036503004375845194, 'def_total': 16.33104956150055, 'def_toward': 7.710906505584717, 'def_away': 6.922576904296875, 'def_sft': 1.6975661516189575}"
10,"{'adv_total': 0.13531928975135088, 'adv_toward': 0.12426917999982834, 'adv_away': 0.011050109751522541, 'def_total': 12.7707599401474, 'def_toward': 6.661641597747803, 'def_away': 5.025082111358643, 'def_sft': 1.0840362310409546}"
